USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT
1233152448342175745,JohnnyHM03,517,@bbc5live @Emmabarnett BUT LABOUR WERE GLONG TO NATIONALISE BLOODY SAUSAGES!,2020-02-27 22:10:29,-1.0,0.9,NEGATIVE
1232976924525367297,yetunde_folarin,1342,"We know though but let’s just appreciate them for being our own, only God knows what we will be going through in th… https://t.co/wfWSYKxz89",2020-02-27 10:33:01,0.3,1.0,POSITIVE
1232807115384852481,futabasgf,163,@jxshuakiryu BVDHIHEBFHENEKEBD IF WE'RE THINKIN GLONG TERM SURELY A HOUSE IS THE BETTER OPTION,2020-02-26 23:18:15,0.5,0.6944444444444444,POSITIVE
1232744473018458120,Stank_Bets20,42,Im on this for tonight. A bb treble. Cant fit it all on screen but let me know if your backing and need to know the… https://t.co/AQYoiN9xWG,2020-02-26 19:09:20,0.4,0.4,POSITIVE
1232653203348639744,reecegvf,54,im glong to *** i dont want to runnnn ahhh,2020-02-26 13:06:39,0.0,0.0,NEGATIVE
1232569934313644034,yddiehot,120,CRIIIIIIIIIK bzt gling clack tchin glong clack FLAKFLAKKLIKFLAK glouglou munch munch munch crunch crunch crunch fff… https://t.co/MYf9lQJDGX,2020-02-26 07:35:47,0.0,0.0,NEGATIVE
1232072477259464705,e_miliaaaaa,134,im at the nail salon w chills glong through twitter on the kobe and giana memorial.... bouta burst into tearsssss,2020-02-24 22:39:04,0.0,0.0,NEGATIVE
1232039545144827910,the_glong,0,RT @youtooz: the 69th youtooz drops friday. rt + follow @youtooz for a chance to win one free https://t.co/cnnnQ4pK01,2020-02-24 20:28:12,0.6000000000000001,0.6000000000000001,POSITIVE
1231784922542592000,aliandotcomm,455,@VADUKA__KOLAK Glong glong,2020-02-24 03:36:25,0.0,0.0,NEGATIVE
1231698751082893312,attgsquad,7,"@BleacherReport Lmao people in the replies still saying Kawhi should’ve stayed in Toronto, why would he stay where… https://t.co/cVOZ1nFSoP",2020-02-23 21:54:00,0.6,1.0,POSITIVE
1231500047692398592,H0NEYMlNS,87,im glong to fucking cry https://t.co/uEHN9xtjYi,2020-02-23 08:44:26,-0.6,0.8,NEGATIVE
1231032960247222272,Glong_e,70,@fucklife_yall me too,2020-02-22 01:48:23,0.0,0.0,NEGATIVE
1230913581857640449,ree_pcn,301,kode chorb ektar 100 aa rs dee tee chose this one when chai glong film for da the time🤩,2020-02-21 17:54:01,0.0,0.0,NEGATIVE
1230901435744821251,uwungchan,39,i dont tink got7 is glong on tour dis year and it makinng me sad  :(((((((((((( victon pls go on a world tour next… https://t.co/qmLqFr0Edn,2020-02-21 17:05:45,-0.625,1.0,NEGATIVE
1230781527019212800,namumikro,555,OK IM@GLONG TO SHADOW NOW BUSTAGGRHSG,2020-02-21 09:09:17,0.5,0.5,POSITIVE
1230481180920860672,Pet4luv,11123,@ZIatan_Ibile Glong #MrDutchKeysToMyHeartLyrics,2020-02-20 13:15:49,0.0,0.0,NEGATIVE
1230292460494036992,jinbIossom,3286,HIS AHIR SIS DO FUCKIG. GLONG SOG YM GOD D LOKS AT HIM LOOKS Y HIS HAIR ITS SSO XLIGN AOG LU GDOD https://t.co/q0RStarP69,2020-02-20 00:45:54,0.0,0.0,NEGATIVE
