USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT
1233179895355838464,Nonyane_Kamo,699,RT @asamkele_kay_: Someone must really develop a new service provider cz wow Telkom and MTN have failed us 💔kubi. https://t.co/eHxcFlMBa3,2020-02-27 23:59:33,-0.0159090909090909,0.48863636363636365,NEGATIVE
1233179864276008960,pocono_mtn,57107,"RT @charliekirk11: This is the left

What happened to “abortions should be safe, legal, and rare”?

Now they’re celebrated and streamed on…",2020-02-27 23:59:25,0.27,0.47000000000000003,NEUTRAL
1233179766796292096,preciousotis101,1050,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:59:02,-0.2,0.5,NEGATIVE
1233179595941257218,pocono_mtn,57107,@brianstelter Please stop this nonsense!!!!! We really can’t stand it anymore!,2020-02-27 23:58:21,0.25,0.2,NEUTRAL
1233179577456959495,DADDY_DeWitt,574,@noemorgan08 That’s a big step. I have fallen off the wagon. I looooove Diet Dr P and MTN Dew Zero.,2020-02-27 23:58:17,0.0,0.1,NEGATIVE
1233179513951002624,lol1t4x,90,go timal mtn,2020-02-27 23:58:02,0.0,0.0,NEGATIVE
1233179410347544576,YomYom0204,178,"RT @miss_utti: Please vote for me Utti Ify to qualify for the MTN y’ello star competition using the link ↘️
https://t.co/b62RgOfCyP
After t…",2020-02-27 23:57:37,0.0,0.0,NEGATIVE
1233179370929500160,pocono_mtn,57107,"RT @DonaldJTrumpJr: I understand that lying about circumstances is your thing, but it’s probably not a great time to be attacking border se…",2020-02-27 23:57:28,-0.4,0.75,NEGATIVE
1233179354080907264,AbdulsalamAjoga,2142,"RT @JoelE_Edet: Mtn and Airtel users re tweet and comment Active!
Only 4",2020-02-27 23:57:24,-0.08333333333333333,0.8,NEGATIVE
1233179305263407104,HatoriManzu,516,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:57:12,-0.2,0.5,NEGATIVE
1233179240029458434,smtnpzh,903,@acdhdl 4min mtn,2020-02-27 23:56:56,0.0,0.0,NEGATIVE
1233179176187891712,pocono_mtn,57107,"RT @trumps_all: @PeteButtigieg “Bad Man Trump” 🤣🤣🤣🤣
They are pissed he cut off their money laundering, their human trafficking connections,…",2020-02-27 23:56:41,-0.3499999999999999,0.3833333333333333,NEGATIVE
1233179173306454016,Smashfoxgod,1057,@TeraVDex Fox drinking mtn dew cause I love drinking then lol,2020-02-27 23:56:40,0.65,0.6499999999999999,POSITIVE
1233179106252087298,pocono_mtn,57107,RT @GaetaSusan: @PeteButtigieg Then stop your continual Smear Campaign against an innocent man. It's the only way you could possibly convin…,2020-02-27 23:56:24,0.16666666666666666,0.9,NEUTRAL
1233179080142606337,bechicakes__,531,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:56:18,-0.2,0.5,NEGATIVE
1233179018284982274,MztaSlimzy,2038,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:56:03,-0.2,0.5,NEGATIVE
1233179012798779392,GKristodea,13453,@manuellaa_O You can send MTN too,2020-02-27 23:56:02,0.0,0.0,NEGATIVE
1233178984369840128,pocono_mtn,57107,@PeteButtigieg Wouldn’t give you a penny! You have ZERO chance you hack!,2020-02-27 23:55:55,0.0,0.0,NEGATIVE
1233178979659636736,Orionworld95,91,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:55:54,-0.2,0.5,NEGATIVE
1233178869814956032,sandile_davidic,216,"RT @Lucky_da_hustla: Service providers like MTN, Vodacom, CellC are reaping us off with their ridiculous high data prices but ke #WeKeptQui…",2020-02-27 23:55:28,-0.08666666666666666,0.77,NEGATIVE
1233178830078140417,chaffvangorp,312,"@taylorheffnerr Whoever told you it’s mtn dew, is wack. It’s mount and do",2020-02-27 23:55:19,0.0,0.0,NEGATIVE
1233178821886664704,Ollythaplug6,4874,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:55:17,-0.2,0.5,NEGATIVE
1233178762700783617,manuellaa_O,195,@GKristodea i was expecting some mtn,2020-02-27 23:55:03,0.0,0.0,NEGATIVE
1233178703062020096,Amedari_lechi,579,"RT @tife_el_elyon: MTN Y'ello Star https://t.co/7kM5C4TQJF

Please hit the vote button. Thank you!!!",2020-02-27 23:54:48,0.0,0.0,NEGATIVE
1233178683206197248,CroustybatD,16,Go tengo mtn,2020-02-27 23:54:44,0.0,0.0,NEGATIVE
1233178632086052864,pocono_mtn,57107,@PeteButtigieg Stop being disrespectful to our President ! Your a child!,2020-02-27 23:54:31,0.0,0.0,NEGATIVE
1233178604764377089,okoko_unyime,897,RT @iSlimfit: I don't know who needs to read this but Glo's Marketing strategy of spending heavily on Ads and celebrity ambassadors is not…,2020-02-27 23:54:25,-0.2,0.5,NEGATIVE
