USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT,ENCODE
1232454582699081733,AdorNOmeansNO,10,"RT @dan__totten: 1/ Hey Twitter, here's a thread about my run for DSC.

 If you live in Chelsea, Everett, or parts of Cambridge and Boston…",2020-02-25 23:57:25,0.13636363636363635,0.5,NEUTRAL,"b""RT @dan__totten: 1/ Hey Twitter, here's a thread about my run for DSC.\n\n If you live in Chelsea, Everett, or parts of Cambridge and Boston\xe2\x80\xa6"""
1232453143176175617,arisblazedbae,239,RT @thestrology_: Imagine getting into a relationship with a Pisces rising cause they make you feel seen and accepted and magical but then…,2020-02-25 23:51:41,0.5,1.0,POSITIVE,b'RT @thestrology_: Imagine getting into a relationship with a Pisces rising cause they make you feel seen and accepted and magical but then\xe2\x80\xa6'
1232452933238706177,allofmcr,16005,RT @HeritageVols: Can you help us spread the word @AVMtweets @gem_heritage @GEMWestMidlands @NCVOvolunteers @NAVCA @DSC_Charity @CEOSalford…,2020-02-25 23:50:51,0.0,0.0,NEGATIVE,b'RT @HeritageVols: Can you help us spread the word @AVMtweets @gem_heritage @GEMWestMidlands @NCVOvolunteers @NAVCA @DSC_Charity @CEOSalford\xe2\x80\xa6'
1232452811733864454,ne_seila,172,"RT @Avalldar: ASC : mask on
DSC : fuck it mask off",2020-02-25 23:50:22,-0.4,0.6,NEGATIVE,b'RT @Avalldar: ASC : mask on\nDSC : fuck it mask off'
1232451548396998656,EdwardBranley,323,"RT @larrynemecek: I'm still saying DSC S3 will wake up and shake up a lot of folks who, for good or bad, thought they had this figured out.…",2020-02-25 23:45:21,5.551115123125783e-17,0.6333333333333333,NEGATIVE,"b""RT @larrynemecek: I'm still saying DSC S3 will wake up and shake up a lot of folks who, for good or bad, thought they had this figured out.\xe2\x80\xa6"""
1232451020644438016,SazeracNELA,367,"RT @larrynemecek: I'm still saying DSC S3 will wake up and shake up a lot of folks who, for good or bad, thought they had this figured out.…",2020-02-25 23:43:15,5.551115123125783e-17,0.6333333333333333,NEGATIVE,"b""RT @larrynemecek: I'm still saying DSC S3 will wake up and shake up a lot of folks who, for good or bad, thought they had this figured out.\xe2\x80\xa6"""
1232450780050800640,Treksplainer,103,@mr_sosotris @JayPHailey It’s all relative to me. I’m pointing to the darkness DS9 put on screen to question the wh… https://t.co/hekiIgVMjC,2020-02-25 23:42:18,0.0,0.0,NEGATIVE,b'@mr_sosotris @JayPHailey It\xe2\x80\x99s all relative to me. I\xe2\x80\x99m pointing to the darkness DS9 put on screen to question the wh\xe2\x80\xa6 https://t.co/hekiIgVMjC'
1232450644264439809,l0ck_kn0t,119,"@StarTrek @KristenMcquinn Despite my misgivings about DSC, it did transform the Mirror Universe from a cartoonish i… https://t.co/SUBVvRd2yl",2020-02-25 23:41:46,0.0,0.0,NEGATIVE,"b'@StarTrek @KristenMcquinn Despite my misgivings about DSC, it did transform the Mirror Universe from a cartoonish i\xe2\x80\xa6 https://t.co/SUBVvRd2yl'"
1232448069666361346,Veejay_Val,421,@erigganewmoney @pelemanewmoney Na to mount your statue for Effurun Round About be the next thing then another one… https://t.co/lHs8aKMaRp,2020-02-25 23:31:32,-0.1,0.2,NEGATIVE,b'@erigganewmoney @pelemanewmoney Na to mount your statue for Effurun Round About be the next thing then another one\xe2\x80\xa6 https://t.co/lHs8aKMaRp'
1232447892524134402,kclyle1,221,"RT @Captain_Revo: Don’t like TOS? there’s TNG
Don’t like TNG? there’s DS9
Don’t like DS9? there’s VOY
Don’t like VOY? there’s ENT
Don’t lik…",2020-02-25 23:30:50,0.0,0.0,NEGATIVE,b'RT @Captain_Revo: Don\xe2\x80\x99t like TOS? there\xe2\x80\x99s TNG\nDon\xe2\x80\x99t like TNG? there\xe2\x80\x99s DS9\nDon\xe2\x80\x99t like DS9? there\xe2\x80\x99s VOY\nDon\xe2\x80\x99t like VOY? there\xe2\x80\x99s ENT\nDon\xe2\x80\x99t lik\xe2\x80\xa6'
