USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT
1232993569046175744,zeezah_m,246,RT @BestMovieLine: Scooby Doo https://t.co/6Y45v7Uvs5,2020-02-27 11:39:09,0.0,0.0,NEUTRAL
1232776502200152069,kay_zeezah,667,@deejaygeekay Oshey baby 😘,2020-02-26 21:16:36,0.0,0.0,NEUTRAL
1232774047861264385,haduney,1717,@zeecakesntreats U sef even Dey do cake o! Zeezah my efiko friend! Nigeria my country,2020-02-26 21:06:51,0.0,0.0,NEUTRAL
1232769538774765571,deejaygeekay,816,"@kay_zeezah AZ baby, please proceed to my DMs. My PA will respond accordingly 😉
Ka jo ma rocky",2020-02-26 20:48:56,0.0,0.0,NEUTRAL
1232757506511974401,kay_zeezah,667,@deejaygeekay 🥰🥰 can I get your digits? Maybe take you out sometime.. let’s have a nice time 😘❤️ ka jo gbadun life.,2020-02-26 20:01:07,0.6,1.0,POSITIVE
1232682053927362560,zeezah_m,246,RT @benoobrown: this is my new favourite video https://t.co/PQ49C0pLZr,2020-02-26 15:01:18,0.13636363636363635,0.45454545454545453,NEGATIVE
1232636265981411328,iam_chukslamba,12,"This life na race  so overtaking is allowed 🚥🚥🚥
@Obyscratch @Instablog_tv @TundeEednut @davido @Davidleno8… https://t.co/Ad0CRjEn4l",2020-02-26 11:59:21,0.0,0.0,NEUTRAL
1232067963295064064,quin_zeezah,120,"RT @ABC: Vanessa Bryant called her husband Kobe Bryant the best ""girl dad,"" who taught their four daughters ""how to be brave and keep pushi…",2020-02-24 22:21:07,0.9,0.65,POSITIVE
1232067948765949952,quin_zeezah,120,RT @PopCrave: Vanessa Bryant honors Gianna and Kobe with an emotional speech. #KobeFarewell. 🕊https://t.co/LCGlH1LR3a,2020-02-24 22:21:04,0.0,0.65,NEUTRAL
1232015871897473030,zeezah_m,246,RT @ShahidAdam1: Y'all wanna talk about range https://t.co/ihYlozN5Xm,2020-02-24 18:54:08,0.0,0.0,NEUTRAL
1231980434478817280,zeezah_m,246,RT @hummmus_: pls guys https://t.co/EkD5A9UC4i,2020-02-24 16:33:19,0.0,0.0,NEUTRAL
1231979762102472704,zeezah_m,246,"RT @waskhalifa_: Thank god twitter doesn't have stories otherwise we'd be seeing ""like and retweet recent 🙈""",2020-02-24 16:30:39,0.0,0.25,NEUTRAL
1231927616422191105,quin_zeezah,120,"I remember you now and I'm just laughing 😂😂😂🤣🤣.. You don't have sense, shey you know? #HelloDearEx",2020-02-24 13:03:26,0.0,0.0,NEUTRAL
1231901773696290816,zeezah_m,246,RT @_LiraRae: In a country where a minimum wage is R3500. Y'all are out to be ashamed of yourself to even flex these numbers to a country w…,2020-02-24 11:20:45,0.0,0.0,NEUTRAL
1231899985509220352,kay_zeezah,667,@Adeborois I’ve had to explain this joke to too many lawyers 😩😩,2020-02-24 11:13:38,0.5,0.5,POSITIVE
1231735504116252673,_zeezah_o,39,RT @sugarbabybarde: Unilag is the actual ghetto,2020-02-24 00:20:03,0.0,0.1,NEUTRAL
1231735477440536577,_zeezah_o,39,Should I faint so they'll take me to medical center😭😭? Or there's no light there too?😭😭,2020-02-24 00:19:57,-0.2333333333333333,0.5666666666666667,NEGATIVE
1231733806643765249,_zeezah_o,39,Unilag is not doing well😭😭😭,2020-02-24 00:13:18,0.0,0.0,NEUTRAL
1231658701544706048,zeezah_m,246,"RT @MovesLikeDragan: Y’all are aware that series are enjoyed by some people and not by others, right!? That’s how it works. 
All this hate…",2020-02-23 19:14:52,0.36904761904761907,0.49523809523809526,POSITIVE
1231497547799302144,Ladykhair1,656,@quin_zeezah No be you dey reject all guys for Wizkid 😔,2020-02-23 08:34:30,0.0,0.0,NEUTRAL
1231357846484221953,quin_zeezah,120,RT @iam_mubaraq00: It can be safe as well https://t.co/Y5HCWdeTYu,2020-02-22 23:19:22,0.5,0.5,POSITIVE
1231357822522318851,quin_zeezah,120,@iam_mubaraq00 Truly it can be safe..,2020-02-22 23:19:17,0.5,0.5,POSITIVE
1231352301241225216,quin_zeezah,120,It can be so boring and tiring sometimes... https://t.co/k6ymKkdPkP,2020-02-22 22:57:20,-1.0,1.0,NEGATIVE
1231331416820023296,zeezah_m,246,RT @BestMovieLine: Parks and Recreation https://t.co/OO4PLZzXrV,2020-02-22 21:34:21,0.0,0.0,NEUTRAL
1231136399426019331,zeezah_m,246,RT @YazeerahB: I was obsessed with all of them plus the galaxy https://t.co/6QPzK4ng38,2020-02-22 08:39:25,-0.5,1.0,NEGATIVE
1230950631541702656,_Rantimi_,789,@__Zeezah I'm just tired😭,2020-02-21 20:21:15,0.0,0.0,NEUTRAL
1230918516716560385,tostick_rufus,55,"@__Zeezah @_Rantimi_ Lagos is so sweet nah,just maybe she hasn't realizes it yet....lol",2020-02-21 18:13:38,0.35,0.65,POSITIVE
1230913377289023489,Rose031090,560,@__Zeezah Dude!!!! 😂,2020-02-21 17:53:13,0.0,0.0,NEUTRAL
1230913271949033475,__Zeezah,112,"@Rose031090 I am so pissed, guys dey rush you yet, you are on a reality show to find love🤣🤣🤣",2020-02-21 17:52:47,0.0,0.0,NEUTRAL
1230902382327926784,__Zeezah,112,"@_Rantimi_ Baby why now, endure",2020-02-21 17:09:31,0.0,0.0,NEUTRAL
1230752034346848262,__Zeezah,112,"RT @taw_berry: Can I have some cash, please lord?",2020-02-21 07:12:05,0.0,0.0,NEUTRAL
1230751790481592320,__Zeezah,112,"Sometimes, too good to be true is the answer to a lifetime of questions and misery",2020-02-21 07:11:07,0.5249999999999999,0.625,POSITIVE
